X,Y,Z
  0,-45,  0
 -1,-45,  0
 -2,-45,  0
 -3,-45,  0
 -4,-45,  0
 -5,-45,  0
 -6,-45,  0
 -7,-45,  0
 -8,-45,  0
 -9,-45,  0
-10,-45,  0
-11,-45,  0
-12,-45,  0
-13,-45,  0
-14,-45,  0
-15,-44,  0
-16,-44,  0
-17,-44,  0
-18,-44,  0
-19,-44,  0
-20,-44,  0
-21,-44,  0
-22,-44,  0
-23,-44,  0
-24,-44,  0
-25,-44,  0
-26,-44,  0
-27,-44,  0
-28,-44,  0
-29,-44,  0
-30,-44,  0
  0,-44,  0
-29,-42,  0
  0,-43,  0
-29,-41,  0
  0,-42,  0
-28,-40,  0
  0,-40,  0
-28,-39,  0
  0,-39,  0
-27,-38,  0
  0,-38,  0
-27,-36,  0
  0,-37,  0
-27,-35,  0
  0,-36,  0
-26,-34,  0
  0,-35,  0
-26,-33,  0
  0,-33,  0
-26,-32,  0
  0,-32,  0
-25,-31,  0
  0,-31,  0
-25,-30,  0
  0,-30,  0
-24,-29,  0
  0,-29,  0
-24,-28,  0
  0,-28,  0
-24,-27,  0
  0,-27,  0
-23,-26,  0
  0,-26,  0
-23,-25,  0
  0,-25,  0
-23,-24,  0
  0,-24,  0
-22,-23,  0
  0,-23,  0
-22,-22,  0
  0,-22,  0
-21,-21,  0
  0,-21,  0
-21,-20,  0
  0,-20,  0
-21,-19,  0
  0,-19,  0
-20,-18,  0
  0,-18,  0
  0,-17,  0
-20,-17,  0
  1,-17,  0
-20,-16,  0
  1,-16,  0
  0,-16,  0
 -1,-16,  0
 -2,-16,  0
 -3,-16,  0
 -4,-16,  0
 -5,-16,  0
 -6,-16,  0
 -7,-16,  0
 -8,-16,  0
 -9,-16,  0
-10,-16,  0
-11,-16,  0
-12,-16,  0
-13,-16,  0
-14,-16,  0
-15,-16,  0
-16,-16,  0
-17,-16,  0
-18,-16,  0
-19,-16,  0
-30,-43,  0
-20,-15,  0
-31,-43,  0
  1,-15,  0
  0,-15,  0
-32,-43,  0
-20,-14,  0
  0,-14,  0
-21,-14,  0
-33,-43,  0
-21,-13,  0
-34,-43,  0
  0,-13,  0
-34,-42,  0
-22,-12,  0
-35,-42,  0
  0,-12,  0
-36,-42,  0
-22,-11,  0
  0,-11,  0
-37,-42,  0
-23,-11,  0
-23,-10,  0
 -1,-44,  0
-38,-42,  0
  0,-10,  0
-39,-41,  0
-24, -9,  0
-40,-41,  0
  0, -9,  0
 -1,-43,  0
-24, -8,  0
-41,-41,  0
  0, -8,  0
-25, -8,  0
-42,-41,  0
-25, -7,  0
-43,-40,  0
  0, -7,  0
-44,-40,  0
-26, -6,  0
-45,-40,  0
  0, -6,  0
 -1,-42,  0
-46,-40,  0
  0, -5,  0
-26, -5,  0
-47,-40,  0
-27, -5,  0
 -2,-42,  0
-48,-39,  0
  0, -4,  0
-27, -4,  0
-49,-39,  0
-27, -3,  0
-50,-39,  0
  0, -3,  0
-28, -3,  0
 -2,-41,  0
-51,-38,  0
  0, -2,  0
-28, -2,  0
-53,-38,  0
