X,Y,Z
-14,  0,  0
-28, -1,  0
-27, -1,  0
-21, -2,  0
 38,  4,  0
 37,  3,  0
 36,  3,  0
 35,  3,  0
 34,  3,  0
 33,  3,  0
 32,  3,  0
 31,  3,  0
 30,  3,  0
 29,  3,  0
 28,  3,  0
 28,  2,  0
 27,  2,  0
 26,  2,  0
 25,  2,  0
 24,  2,  0
 23,  2,  0
 22,  2,  0
 21,  2,  0
 20,  2,  0
 38,  3,  0
 19,  1,  0
 38,  2,  0
 19,  0,  0
 39,  2,  0
 39,  1,  0
 20,  0,  0
 39,  0,  0
 20, -1,  0
 20, -2,  0
 39, -1,  0
 20, -3,  0
 39, -2,  0
 20, -4,  0
 39, -3,  0
 20, -5,  0
 39, -4,  0
 20, -6,  0
 39, -5,  0
 20, -7,  0
 39, -6,  0
 20, -8,  0
 39, -7,  0
 20, -9,  0
 40, -7,  0
 40, -8,  0
 20,-10,  0
 21,-10,  0
 40, -9,  0
 21,-11,  0
 40,-10,  0
 21,-12,  0
 40,-11,  0
 21,-13,  0
 40,-12,  0
 21,-14,  0
 40,-13,  0
 21,-15,  0
 40,-14,  0
 21,-16,  0
 40,-15,  0
 39,-15,  0
 38,-15,  0
 37,-15,  0
 36,-15,  0
 35,-15,  0
 34,-15,  0
 33,-15,  0
 32,-15,  0
 31,-15,  0
 31,-16,  0
 30,-16,  0
 29,-16,  0
 28,-16,  0
 27,-16,  0
 26,-16,  0
 25,-16,  0
 24,-16,  0
 23,-16,  0
 22,-16,  0
 21,-17,  0
 39,-14,  0
 20,-16,  0
 18,  1,  0
 38,-14,  0
 20,-15,  0
 38,-13,  0
 37,-13,  0
 19,-15,  0
 17,  1,  0
 36,-13,  0
 35,-13,  0
 19,-14,  0
 18,-14,  0
 35,-12,  0
 34,-12,  0
 33,-12,  0
 17,-14,  0
 17,-13,  0
 32,-12,  0
 32,-11,  0
 31,-11,  0
 16,-13,  0
 16,-12,  0
 30,-11,  0
 15,-12,  0
 29,-10,  0
 14,  0,  0
 28,  1,  0
 28,  0,  0
 14, -1,  0
 14, -2,  0
 28, -1,  0
 14, -3,  0
 28, -2,  0
 14, -4,  0
 28, -3,  0
 14, -5,  0
 28, -4,  0
 15, -5,  0
 15, -6,  0
 28, -5,  0
 15, -7,  0
 28, -6,  0
 29, -6,  0
 15, -8,  0
 29, -7,  0
 15, -9,  0
 29, -8,  0
 15,-10,  0
 29, -9,  0
 15,-11,  0
 28,-10,  0
 27,-11,  0
 26,-11,  0
 25,-11,  0
 24,-11,  0
 23,-11,  0
 22,-11,  0
 20,-11,  0
 19,-11,  0
 18,-11,  0
 18,-12,  0
 17,-12,  0
 -1,  0,  0
 -2,  0,  0
 -3,  0,  0
 -4,  0,  0
 -5,  0,  0
 -6,  0,  0
 -7,  0,  0
 -8,  0,  0
 -9,  0,  0
 -9, -1,  0
-10, -1,  0
-11, -1,  0
-12, -1,  0
-13, -1,  0
-19, -2,  0
  0, -1,  0
-18, -3,  0
  0, -2,  0
-18, -4,  0
  0, -3,  0
-18, -5,  0
  0, -4,  0
-18, -6,  0
  0, -5,  0
-18, -7,  0
  0, -6,  0
-18, -8,  0
  0, -7,  0
-18, -9,  0
  0, -8,  0
-18,-10,  0
  0, -9,  0
-18,-11,  0
  1, -9,  0
  1,-10,  0
-18,-12,  0
-17,-12,  0
  1,-11,  0
-17,-13,  0
  1,-12,  0
-17,-14,  0
  1,-13,  0
-17,-15,  0
  1,-14,  0
-17,-16,  0
  1,-15,  0
-17,-17,  0
  1,-16,  0
-17,-18,  0
  1,-17,  0
-17,-19,  0
  1,-18,  0
-17,-20,  0
  2,-19,  0
  1,-19,  0
  0,-19,  0
 -1,-19,  0
 -2,-19,  0
 -3,-19,  0
 -4,-19,  0
 -5,-19,  0
 -6,-19,  0
 -6,-20,  0
 -7,-20,  0
 -8,-20,  0
 -9,-20,  0
-10,-20,  0
-11,-20,  0
-12,-20,  0
-13,-20,  0
-14,-20,  0
-15,-20,  0
-16,-21,  0
-17,-21,  0
-16,-20,  0
-16,-19,  0
-15,-19,  0
-15,-18,  0
-14,-18,  0
-14,-17,  0
-13,-17,  0
-13,-16,  0
-12,-16,  0
-12,-15,  0
-13, -2,  0
-13, -3,  0
-13, -4,  0
-13, -5,  0
-13, -6,  0
-13, -7,  0
-13, -8,  0
-12, -9,  0
-12,-10,  0
-12,-11,  0
-12,-12,  0
-12,-13,  0
-12,-14,  0
  0,-13,  0
  0,-14,  0
 -1,-14,  0
 -2,-14,  0
 -3,-14,  0
 -4,-14,  0
 -5,-14,  0
 -6,-14,  0
 -7,-14,  0
 -8,-14,  0
 -9,-14,  0
-10,-15,  0
-11,-15,  0
 26, 16,  0
 25, 16,  0
 24, 16,  0
 23, 16,  0
 22, 16,  0
 21, 16,  0
 20, 16,  0
 19, 16,  0
 18, 16,  0
 16, 15,  0
 15, 15,  0
 14, 15,  0
 13, 15,  0
 26, 15,  0
 26, 14,  0
 13, 12,  0
 26, 13,  0
 26, 12,  0
 26, 11,  0
 27, 11,  0
 27, 10,  0
 27,  9,  0
 27,  8,  0
 27,  7,  0
 27,  6,  0
 27,  5,  0
 27,  4,  0
 14,  3,  0
 14,  2,  0
 27,  3,  0
 26,  3,  0
 25, 15,  0
 24, 15,  0
 11, 14,  0
 23, 15,  0
 11, 13,  0
 23, 14,  0
 22, 14,  0
 10, 13,  0
 10, 12,  0
 21, 14,  0
 21, 13,  0
 20, 13,  0
  9, 12,  0
 19, 13,  0
 17, 12,  0
 16, 12,  0
 15, 12,  0
 14, 12,  0
 11, 12,  0
  9, 11,  0
 20, 12,  0
 10, 11,  0
 10, 10,  0
 20, 11,  0
 10,  9,  0
 20, 10,  0
 21, 10,  0
 21,  9,  0
 10,  8,  0
 21,  8,  0
 10,  7,  0
 10,  6,  0
 21,  7,  0
 10,  5,  0
 21,  6,  0
 10,  4,  0
 21,  5,  0
 10,  3,  0
 21,  4,  0
 10,  2,  0
 21,  3,  0
 11,  2,  0
 -2, 13,  0
 -3, 13,  0
 -4, 13,  0
 -5, 13,  0
 -6, 13,  0
 -7, 13,  0
 -8, 13,  0
 -9, 13,  0
-10, 13,  0
-10, 12,  0
-11, 12,  0
-12, 12,  0
-13, 12,  0
-14, 12,  0
-14, 10,  0
-14,  9,  0
 -1, 10,  0
-14,  8,  0
 -1,  9,  0
-13,  0,  0
-10,  0,  0
-11,  0,  0
-14, 11,  0
-13, 11,  0
-13, 10,  0
-12, 10,  0
-12,  9,  0
-11,  9,  0
 -2, 10,  0
 -3, 10,  0
 -4, 10,  0
 -5, 10,  0
 -6, 10,  0
 -7, 10,  0
 -8, 10,  0
 -9, 10,  0
-10, 10,  0
-10,  9,  0
-11,  8,  0
-11,  7,  0
-11,  6,  0
-11,  5,  0
-11,  4,  0
-11,  3,  0
-11,  2,  0
-11,  1,  0
-10,  1,  0
  9,  0,  0
  8,  0,  0
 14, -6,  0
  1, -7,  0
  1, -8,  0
 14, -7,  0
 14, -8,  0
 14,-12,  0
 13,-12,  0
 12,-12,  0
 11,-12,  0
 10,-12,  0
  9,-12,  0
  8,-12,  0
  8,-13,  0
  7,-13,  0
  6,-13,  0
  5,-13,  0
  4,-13,  0
  3,-13,  0
  2,-13,  0
 14,-11,  0
 13,-11,  0
 13,-10,  0
 12,-10,  0
 12, -9,  0
 10,  0,  0
 11,  0,  0
 11, -1,  0
 11, -2,  0
 11, -3,  0
 11, -4,  0
 11, -5,  0
 11, -6,  0
 11, -7,  0
 11, -8,  0
 11, -9,  0
 10, -9,  0
  9, -9,  0
  8, -9,  0
  8,-10,  0
  7,-10,  0
  6,-10,  0
  5,-10,  0
  4,-10,  0
  3,-10,  0
  2,-10,  0
-20, -2,  0
-27, -3,  0
-27, -4,  0
-27, -5,  0
-27, -6,  0
-27, -7,  0
-27, -8,  0
-27, -9,  0
-26, -9,  0
-26,-10,  0
-13, -9,  0
-26,-11,  0
-13,-10,  0
-26,-12,  0
-26,-13,  0
-26,-14,  0
-26,-15,  0
-26,-16,  0
-13,-15,  0
-14,-15,  0
-15,-15,  0
-16,-15,  0
-18,-15,  0
-19,-15,  0
-20,-16,  0
-21,-16,  0
-22,-16,  0
-23,-16,  0
-24,-16,  0
-25,-16,  0
-11,-14,  0
-25,-15,  0
-24,-15,  0
-11,-13,  0
-23,-15,  0
-23,-14,  0
-10,-13,  0
-22,-14,  0
-10,-12,  0
-22,-13,  0
-21,-13,  0
 -9,-12,  0
-20,-13,  0
 -9,-11,  0
-10, -2,  0
-21, -3,  0
-10, -3,  0
-21, -4,  0
-21, -5,  0
-10, -4,  0
-21, -6,  0
-10, -5,  0
-21, -7,  0
-10, -6,  0
-21, -8,  0
-10, -7,  0
-20, -9,  0
-10, -8,  0
-10, -9,  0
-20,-10,  0
-10,-10,  0
-20,-11,  0
 -9,-10,  0
-20,-12,  0
-10,-11,  0
-11,-12,  0
-13,-12,  0
-14,-12,  0
-15,-12,  0
-16,-12,  0
-19,-12,  0
